Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2026-04-03,Serpico,1973,https://boxd.it/dNSSan,2.5,Yes,,2026-04-03
2026-04-03,How to Lose a Guy in 10 Days,2003,https://boxd.it/dNSUAd,3.5,Yes,,2026-04-03
2026-04-03,The Neon Demon,2016,https://boxd.it/dNUgy1,1,,,2026-04-03
2026-04-03,The Ninth Gate,1999,https://boxd.it/dNY3ix,2.5,Yes,,2026-04-03
2026-04-03,Stay,2005,https://boxd.it/dO01aP,2,,,2026-04-03
2026-04-04,The House That Jack Built,2018,https://boxd.it/dO22u1,0.5,,,2026-04-03
2026-04-04,The Exception,2016,https://boxd.it/dO7eI5,2,,,2026-04-03
2026-04-04,The Report,2019,https://boxd.it/dOe0FP,4.5,,,2026-04-03
2026-04-04,Money Monster,2016,https://boxd.it/dOe1oF,2.5,Yes,,2026-04-03
2026-04-04,21,2008,https://boxd.it/dOe2b3,3.5,Yes,,2026-04-03
2026-04-04,The Big Short,2015,https://boxd.it/dOZTXj,4.5,,,2026-04-04
2026-04-04,The Family Plan,2023,https://boxd.it/dP5k3d,2.5,Yes,,2026-04-04
2026-04-04,Infinite,2021,https://boxd.it/dP5kCR,3.5,Yes,,2026-04-04
2026-04-05,In the Line of Fire,1993,https://boxd.it/dP96Ch,3,Yes,,2026-04-04
2026-04-05,Joy,2015,https://boxd.it/dP9c33,4.5,,,2026-04-04
2026-04-05,Nymphomaniac: Vol. I,2013,https://boxd.it/dPcYg1,0.5,,,2026-04-04
2026-04-05,Nymphomaniac: Vol. II,2013,https://boxd.it/dPcYzR,0.5,,,2026-04-04
2026-04-05,Nymphomaniac,2014,https://boxd.it/dPcYQ9,0.5,,,2026-04-04
2026-04-05,Ride Along 2,2016,https://boxd.it/dPmXOL,3,,,2026-04-04
2026-04-05,Ne Zha 2,2025,https://boxd.it/dPrB97,4,,,2026-04-04
2026-04-05,Revelations,2025,https://boxd.it/dQ19a9,3,,,2026-04-05
2026-04-05,Sympathy for Mr. Vengeance,2002,https://boxd.it/dQ4aMp,3.5,,,2026-04-05
2026-04-05,Lady Vengeance,2005,https://boxd.it/dQ7fFJ,4,,,2026-04-05
2026-04-06,Only God Forgives,2013,https://boxd.it/dQvu1x,2.5,,,2026-04-05
2026-04-06,The Tree of Life,2011,https://boxd.it/dQvJHt,2,Yes,,2026-04-05
2026-04-06,Shaurya,2008,https://boxd.it/dQvKPN,3.5,,,2026-04-05
2026-04-07,Munich,2005,https://boxd.it/dRMJlb,2.5,,,2026-04-06
2026-04-08,American History X,1998,https://boxd.it/dSvAKV,3,,,2026-04-07
2026-04-08,Isle of Dogs,2018,https://boxd.it/dSD5AL,3,,,2026-04-07
2026-04-09,Max Payne,2008,https://boxd.it/dTkNF7,1.5,,,2026-04-08
